"","ID","time","Guar Gum (g/L)","AVG PEG MW (g/mol)","CH4 (mol-gas)","H2 (mol-gas)","CO2 (mol-gas)","Methanol (mol/L)","Isopropanol (mol/L)"
"1",1,0,8.673168,400.258258258258,0,0,0,0.2057265,0.1097208
"2",1,0.25,8.53266860667505,399.890318506126,248.173078177842,554.61462113192,432.231165258962,0.20572280165007,0.10971972335638
"3",1,0.5,8.39446672769987,399.515627454214,1096.8691042818,2006.78323703082,1709.3384307766,0.205699083825418,0.109712818542643
"4",1,1,8.12480581976051,398.745763140637,4458.77196671123,6694.8914602004,6249.58816790745,0.205535838137573,0.109665284090594
"5",1,2,7.61144140533236,397.123039670077,17079.7818644509,19708.6016609465,21099.7033567129,0.204529490367582,0.109371872738312
"6",1,3,7.13084067157091,395.389638929083,36738.3203865516,34473.9000584265,41680.1025635572,0.202440616950912,0.108760738861635
"7",1,4,6.68091211797393,393.549652927615,62894.0864974142,49632.7772647171,67013.479263602,0.199225074285538,0.107814353464884
"8",1,5,6.25969772692392,391.612006825973,95164.7506986398,64784.0396320534,96638.6461626439,0.194916974519746,0.106535467797062
"9",1,6,5.8653644428539,389.58932860272,133103.029462097,79714.3296738765,130115.634296592,0.189587399821185,0.104935449624674
"10",1,7,5.49619619525752,387.496269712507,176028.193249796,94076.8464177044,166765.008669285,0.183340703320222,0.103033861157447
"11",1,8,5.15058643083199,385.347924405307,222881.178996407,107246.894484849,205501.352138619,0.176324652714659,0.10086263027441
"12",1,9,4.82703112225801,383.158627334377,272151.26516163,118322.72793571,244786.51287615,0.168740830640641,0.0984710777044479
"13",1,10,4.52412222319547,380.941169962503,321978.467362782,126336.105043408,282809.641963945,0.160842223297827,0.095927756792557
"14",1,11,4.2405415410161,378.706378117485,370508.732952552,130681.333683719,317951.980322099,0.152906477737548,0.0933146760701116
"15",1,12,3.97505500061259,376.462977935348,416380.360563173,131517.195495581,349328.673568909,0.145186347551103,0.0907127951648648
"16",1,13,3.72650727432566,374.21767806814,459002.08456372,129741.498344345,376971.029453117,0.137861317129773,0.088185318404665
"17",1,14,3.49381675462494,371.97538225734,498427.750601184,126514.698659567,401500.612357812,0.131019899517038,0.0857690221038611
"18",1,15,3.27597084767089,369.73944558672,535022.726050837,122781.498479453,423654.841276225,0.124676709133479,0.0834769558593063
"19",1,16,3.07202156728243,367.511920147923,569203.298350658,119104.10946713,444018.291521689,0.118803590944192,0.0813070416488754
"20",1,17,2.88108141014249,365.293772948799,601326.796585831,115734.018824459,462979.167989396,0.113355448775725,0.079250147038759
"21",1,18,2.70231949429799,363.085075998325,631674.320215088,112742.369009953,480781.056524158,0.108285035841839,0.0772951285304847
"22",1,19,2.53495794415742,360.885170972168,660464.962592947,110118.048252936,497581.493986874,0.103549252658755,0.075431223392727
"23",1,20,2.37826850626195,358.692809984666,687873.229391801,107821.602465302,513491.155696433,0.0991108620336377,0.0736488890507617
"24",1,21,2.23156938111079,356.506273843308,714042.108920442,105809.387937311,528595.284322718,0.0949382732442417,0.0719399272327499
"25",1,22,2.09422225726244,354.323469647862,739091.724382774,104042.374922501,542964.371963113,0.0910047263366296,0.0702973459172168
"26",1,23,1.96562953481354,352.142010072664,763124.977739571,102488.288667548,556659.375219491,0.0872874196679116,0.0687151593046464
"27",1,24,1.84523172618176,349.959276877799,786231.350434429,101121.293949737,569734.372897621,0.0837667555129628,0.0671881993762186
"28",1,25,1.73250502289072,347.772471150707,808489.578291042,99920.983290752,582238.053361802,0.0804257338397138,0.0657119590608575
"29",1,26,1.62695901777729,345.578652583113,829969.608490426,98871.3133647523,594214.646991461,0.0772494776243491,0.0642824676289708
"30",1,27,1.52813457271784,343.374769826785,850734.073464104,97959.6845185296,605704.572420705,0.0742248633717778,0.062896193338793
"31",1,28,1.43560182260287,341.157683701287,870839.424713542,97176.1960680919,616744.918265326,0.0713402326371785,0.0615499676724172
"32",1,29,1.34895830688163,338.924184777221,890336.819407749,96513.0593801991,627369.820181187,0.0685851651475777,0.0602409262591948
"33",1,30,1.26782722055293,336.671006642703,909272.82320974,95964.1396751739,637610.76589809,0.0659502987151396,0.0589664625950246
"34",1,31,1.19185577699658,334.394835983585,927689.974204601,95524.5989832387,647496.84784188,0.0634271848363105,0.0577241915688328
"35",1,32,1.12071367552546,332.092320468954,945627.240362608,95190.6173252155,657054.976029637,0.0610081716850582,0.0565119205293558
"36",1,33,1.05409166699184,329.760075330729,963120.394322096,94959.1739403806,666310.059871718,0.0586863083006225,0.0553276261791492
"37",1,34,0.991700211206463,327.39468945612,980202.323119648,94827.8744217715,675285.16496657,0.0564552653144448,0.0541694360008462
"38",1,35,0.933268220325287,324.992731770297,996903.286044221,94794.8128307844,684001.649287389,0.0543092686999719,0.0530356132345089
"39",1,36,0.878541882730572,322.550758668384,1013251.13053769,94858.4603471508,692479.282001293,0.0522430438711754,0.0519245446602649
"40",1,37,0.827283562279602,320.065323253506,1029271.47366562,95017.5739093575,700736.347345704,0.050251768080643,0.0508347306171104
"41",1,38,0.779270768118696,317.532987140226,1044987.85490475,95271.1197484988,708789.735402822,0.0483310295340772,0.0497647768216825
"42",1,39,0.73429519056326,314.950335573676,1060421.86467797,95618.2078296812,716655.02119554,0.0464767919869817,0.0487133876509303
"43",1,40,0.692161798827832,312.313996568044,1075593.25210565,96058.0340845669,724346.533239126,0.0446853638516208,0.0476793606279811
"44",1,41,0.652687996654783,309.620664644192,1090520.01476689,96589.8280276607,731877.412504532,0.0429533710399161,0.0466615819068818
"45",1,42,0.615702832137641,306.867129485602,1105218.47283961,97212.8039706119,739259.662679514,0.0412777329165908,0.0456590225933843
"46",1,43,0.581046258266312,304.05030934949,1119703.32980519,97926.1146540033,746504.192665354,0.0396556408478637,0.0446707357682601
"47",1,44,0.548568440937623,301.167288251177,1133987.72197817,98728.8067776277,753620.852445751,0.0380845389123338,0.0436958540984571
"48",1,45,0.518129111376985,298.215354645238,1148083.2594869,99619.7787034039,760618.463846754,0.0365621063979845,0.0427335879305612
"49",1,46,0.489596960106334,295.192037417328,1162000.06203133,100597.741600715,767504.848312012,0.0350862417464912,0.0417832237606876
"50",1,47,0.462849069771025,292.095132402905,1175746.79380352,101661.186546552,774286.854670143,0.0336550476264355,0.0408441229649732
"51",1,48,0.437770384304827,288.92270948993,1189330.70333754,102808.361553782,780970.390941582,0.0322668168240591,0.039915720655457
"52",1,49,0.414253212068512,285.673087192169,1202757.67556774,104037.263995785,787560.465373488,0.030920018638929,0.0389975244987543
"53",1,50,0.392196760744568,282.344759658853,1216032.30455844,105345.654967194,794061.242743856,0.0296132854709663,0.0380891133039502
"54",1,51,0.371506701909043,278.936262594767,1229157.99536627,106731.101923869,800476.12187503,0.0283453992988721,0.0371901351609084
"55",1,52,0.352094763332062,275.445972368526,1242137.10103506,108191.053250294,806807.838262462,0.0271152777986521,0.0363003049069687
"56",1,53,0.333878347181936,271.871849043121,1254971.09439735,109722.941922374,813058.590700563,0.025921959959157,0.0354194007415945
"57",1,54,0.316780172424302,268.211158579015,1267660.76345939,111324.304697951,819230.182301829,0.0247645912383806,0.034547259918847
"58",1,55,0.300727939818056,264.460235688178,1280206.40500972,112992.889971838,825324.155524209,0.0236424085660008,0.0336837736381824
"59",1,56,0.285654018014381,260.61436418335,1292607.97823373,114726.716459483,831341.891408729,0.0225547257877769,0.0328288815049348
"60",1,57,0.271495149364082,256.667842329639,1304865.17572336,116524.043454293,837284.640836287,0.021500920369406,0.0319825661769314
"61",1,58,0.258192174132198,252.614261250791,1316977.37983273,118383.227382978,843153.465121336,0.0204804222104471,0.0311448489501087
"62",1,59,0.24568977190753,248.446965082773,1328943.49862774,120302.468141873,848949.084812289,0.0194927051795982,0.0303157869668981
"63",1,60,0.233936219078726,244.159604510564,1340761.71007702,122279.483058228,854671.662627462,0.0185372814908468,0.0294954724253322
"64",1,61,0.222883161326608,239.746661627236,1352429.17264437,124311.172625292,860320.568544594,0.0176136984355393,0.0286840336929351
"65",1,62,0.212485400160244,235.203823335155,1363941.77382157,126393.349972033,865894.183580405,0.0167215364704675,0.0278816377329567
"66",1,63,0.202700692587561,230.528113059391,1375293.98099806,128520.592776599,871389.790925253,0.0158604074074963,0.0270884928879744
"67",1,64,0.193489563086044,225.717756203848,1386478.8331225,130686.245461793,876803.580850011,0.0150299515330353,0.0263048509475918
"68",1,65,0.184815127090227,220.771852648254,1397488.07124422,132882.556328286,882130.763015838,0.014229832884678,0.0255310075967752
"69",1,66,0.176642925277176,215.690040986556,1408312.35818132,135100.886266819,887365.742154907,0.0134597325348773,0.0247673007820246
"70",1,67,0.168940767979554,210.472409681274,1418941.49674389,137331.888212522,892502.28217657,0.0127193404195191,0.0240141071513662
"71",1,68,0.161678589105583,205.119867170418,1429364.5458013,139565.55413278,897533.578422478,0.0120083467774073,0.0232718373270108
"72",1,69,0.154828308989631,199.635003619643,1439569.77395884,141791.07793449,902452.193396373,0.0113264343939886,0.0225409310842246
"73",1,70,0.148363705637934,194.023252380731,1449544.47337227,143996.575053465,907249.879784675,0.0106732724590935,0.021821853327127
"74",1,72.5,0.133732817845975,179.513315018909,1473378.0582609,149331.743429647,918651.434749183,0.00916380820569632,0.0200791529906295
"75",1,75,0.121023488541949,164.589231178897,1495426.68272045,154204.104611173,929060.432426355,0.00782569861032807,0.0184215704498919
"76",1,77.5,0.109949093615519,149.869463219002,1515393.9564235,158308.875064167,938263.090225847,0.00665170826133727,0.0168576104685285
"77",1,80,0.100268246074078,136.376229789216,1532976.39169314,161322.186236071,946035.101776079,0.00563314108430552,0.015395579991279
"78",1,82.5,0.0917776042225775,125.338527635198,1547962.79356515,163005.905510947,952220.68964704,0.00475945557065335,0.0140424979570683
"79",1,85,0.0843057798477981,117.509108939957,1560387.97383491,163368.705633919,956854.750686925,0.00401784844809834,0.0128023742855816
"80",1,90,0.0718627352712714,109.799886917904,1578995.1138276,161412.207611288,962591.316229966,0.00286972032703904,0.0106540364897889
"81",1,95,0.0620308883436466,107.299809955524,1591998.57964225,158057.689563333,965602.5901103,0.0020644059600923,0.00890092468163087
"82",1,100,0.0541584821118271,106.472208813539,1601533.53908117,154607.010691672,967274.640309959,0.0014978790520981,0.00747119247250429
"83",2,0,8.673168,400.258258258258,0,0,0,0.2057265,0.1097208
"84",2,0.25,8.57905438743191,399.544542638458,608.690604663212,1115.41734954196,936.088331998207,0.205713368059774,0.10971715839507
"85",2,0.5,8.48597398738212,398.81108584312,2544.98778020806,3915.08100137182,3532.58943212576,0.205630994483343,0.109694312916747
"86",2,1,8.30286756505918,397.284816908013,9883.50992653874,12093.8591296461,12157.4286541842,0.205096171713565,0.109545878243705
"87",2,2,7.94856231244457,393.996116520467,35324.9642707687,30444.0083709256,37281.1656447638,0.202193541491917,0.108737020963638
"88",2,3,7.60956112592,390.399408758575,70767.1682010783,45649.4060963407,67292.1521011399,0.197052563835865,0.107290614332809
"89",2,4,7.2852027424293,386.512723358377,111774.74311357,55989.2255903751,98357.0787955891,0.190375195141915,0.105384620580414
"90",2,5,6.97485446225157,382.364288278684,155003.376716114,62056.5738099319,128511.627067848,0.182892936181737,0.103210334818324
"91",2,6,6.67791091487664,377.987539438337,198553.050003066,65312.9545599141,157212.823181354,0.175135811038896,0.100910595657979
"92",2,7,6.39379287819348,373.415870081713,241603.862728861,67083.3421369026,184583.570577226,0.167402440849038,0.0985686871750117
"93",2,8,6.12194614868867,368.679010933272,283876.978478587,68191.5278645531,210859.845419298,0.159831221269039,0.0962250095481603
"94",2,9,5.86184046045127,363.801192368106,325311.035650732,69059.3958844753,236220.373354484,0.152475739943548,0.0938965009713746
"95",2,10,5.6129684508758,358.800613261141,365925.981584282,69886.8783455583,260785.310304554,0.145350772729422,0.0915889653427689
"96",2,11,5.37484467104616,353.689692621596,405771.102137083,70767.9522948647,284639.967075681,0.138454682889804,0.0893032456692554
"97",2,12,5.14700463887043,348.475715122997,444904.26982628,71747.9455523435,307850.017091829,0.131779442420943,0.0870380600710477
"98",2,13,4.92900393311994,343.161630220175,483383.241544888,72849.8605748232,330469.150811927,0.125315023956489,0.0847912859342183
"99",2,14,4.72041732660577,337.746877765764,521262.061708487,74086.5034656268,352542.970197006,0.119051307736331,0.0825605449898062
"100",2,15,4.52083795680228,332.228188335991,558589.685232899,75466.1604794699,374111.103696575,0.112978884441869,0.0803434707209913
"101",2,16,4.32987653230036,326.60035389119,595409.504384188,76995.2371946306,395208.39728693,0.107089366940356,0.0781378309928795
"102",2,17,4.14716057354276,320.856994311615,631759.160315,78679.4041542279,415865.56155834,0.101375489339002,0.0759415867424825
"103",2,18,3.97233368636103,314.991364815681,667670.342417542,80523.9647341762,436109.453945672,0.0958311213363763,0.0737529256168274
"104",2,19,3.80505486689772,308.997260476069,703168.427735341,82533.7772319787,455963.081997008,0.0904512563846882,0.0715702898041821
"105",2,20,3.64499783655814,302.870071498314,738271.885991806,84712.8825622271,475445.369993413,0.0852319992615863,0.0693924078830064
"106",2,21,3.49185040569526,296.60800671601,772991.430865845,87063.9172288384,494570.723164698,0.0801705620327058,0.0672183356266056
"107",2,22,3.34531386478705,290.213386896044,807328.986449644,89587.4056043125,513348.462678587,0.0752652668572844,0.065047507187478
"108",2,23,3.20510240191972,283.693635150233,841276.725637238,92281.1490278172,531782.325429078,0.0705155434114421,0.0628797934909602
"109",2,24,3.07094254543904,277.061099862105,874816.795504206,95140.1999831155,549870.467778274,0.0659218934526267,0.0607155565052148
"110",2,25,2.94257263068532,270.330350269072,907922.827117776,98158.2573502024,567606.735656413,0.0614857748552471,0.0585556749035686
"111",2,26,2.81974228977684,263.512067598485,940564.426196665,101331.257913996,584983.97566306,0.0572093456446396,0.0564015035553912
"112",2,27,2.70221196343475,256.605559039775,972714.367322484,104662.452987625,601998.997126599,0.0530950435559433,0.0542547367401267
"113",2,28,2.58975243391022,249.595946559918,1004354.7542119,108165.31225069,618656.270922446,0.0491450950947995,0.0521172010918338
"114",2,29,2.48214437809774,242.460981013753,1035476.44469344,111859.775193675,634966.3387777,0.0453611844543685,0.0499906907585547
"115",2,30,2.37917793996457,235.184241568318,1066070.34582374,115762.368597996,650938.563785639,0.0417444794138261,0.0478769744833281
"116",2,31,2.28065232146301,227.765695712779,1096116.36910679,119876.771213281,666573.103619082,0.0382959602358227,0.045777992284609
"117",2,32,2.18637539112825,220.2227582151,1125577.68761316,124191.191200366,681857.661721715,0.0350167727625069,0.0436961191389574
"118",2,33,2.096163309599,212.580300924617,1154404.22149857,128684.291780174,696771.261316557,0.0319083299444214,0.0416343289692884
"119",2,34,2.00984017133118,204.85588035046,1182543.50002154,133336.154874778,711292.921243366,0.028972065612684,0.0395961552682803
"120",2,35,1.92723766180626,197.055173722616,1209949.98860976,138135.002756566,725408.075019251,0.0262089878488679,0.0375854854247623
"121",2,36,1.84819472956644,189.185484124588,1236583.00317163,143071.398374537,739105.574300879,0.0236193403771613,0.0356063695376133
"122",2,37,1.77255727243737,181.271489202977,1262396.47038829,148125.977376591,752368.887072913,0.0212025467101687,0.0336629945103524
